Set,Draw,RowType,7,6,5,4,3,2,1
Set1,Draw1,draw_data,875,689,766,478,501,052,316
Set1,Draw1,R2,599224401667,5922440167,59224401,5922401,9224,924,924
Set1,Draw1,R4,225990664471,2259064471,22590441,2259041,2294,294,294
Set1,Draw1,R6,661705992244,6170592244,10592244,1059224,9224,924,924
Set1,Draw1,R8,701996622445,7019622445,01922445,0192245,9224,924,924
Set1,Draw2,draw_data,N/A,689,766,478,501,052,316
Set1,Draw2,R2,N/A,59224400167,592244001,59224001,92240,924,924
Set1,Draw2,R4,N/A,22590064471,225900441,22590041,22904,294,294
Set1,Draw2,R6,N/A,61700592244,100592244,10059224,09224,924,924
Set1,Draw2,R8,N/A,70019622445,001922445,00192245,09224,924,924
Set1,Draw3,draw_data,N/A,N/A,766,478,501,052,316
Set1,Draw3,R2,N/A,N/A,592244001133,59224001133,92240133,924133,9243
Set1,Draw3,R4,N/A,N/A,225900334411,22590033411,22903341,293341,2934
Set1,Draw3,R6,N/A,N/A,110059332244,11005933224,10933224,193324,9324
Set1,Draw3,R8,N/A,N/A,001193322445,00119332245,01933224,193324,9324
Set1,Draw4,draw_data,N/A,N/A,N/A,478,501,052,316
Set1,Draw4,R2,N/A,N/A,N/A,559224001133,592240133,924133,9243
Set1,Draw4,R4,N/A,N/A,N/A,225590033411,225903341,293341,2934
Set1,Draw4,R6,N/A,N/A,N/A,110055933224,105933224,193324,9324
Set1,Draw4,R8,N/A,N/A,N/A,001193322455,019332245,193324,9324
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,501,052,316
Set1,Draw5,R2,N/A,N/A,N/A,N/A,59922401338,99241338,992438
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22599083341,29983341,299834
Set1,Draw5,R6,N/A,N/A,N/A,N/A,81059933224,81993324,899324
Set1,Draw5,R8,N/A,N/A,N/A,N/A,01998332245,19983324,998324
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,052,316
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,99241338667,99243867
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,29966833471,29968347
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66817993324,68799324
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,71998336624,79983624
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,316
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,99244388677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,29968834477
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68877993244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,77998836244
Set2,Draw1,draw_data,313,875,689,766,478,501,052
Set2,Draw1,R2,559922440677,5992244067,59224407,5922440,592240,9224,924
Set2,Draw1,R4,225599064477,2259906447,22590447,2259044,225904,2294,294
Set2,Draw1,R6,677055992244,6705992244,70592244,0592244,059224,9224,924
Set2,Draw1,R8,770996224455,7099622445,70922445,0922445,092245,9224,924
Set3,Draw1,draw_data,803,313,875,689,766,478,501
Set3,Draw1,R2,55924013677,559240677,5924067,52407,5240,520,2
Set3,Draw1,R4,25590634771,255906477,2590647,25047,2504,250,2
Set3,Draw1,R6,61770559324,677055924,6705924,70524,0524,052,2
Set3,Draw1,R8,77019362455,770962455,7096245,70245,0245,025,2
