Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,205.0,777.0,439,796,352,775,990
Set3,Draw1,R2,594401138667.0,59440113866.0,54011866,5401186,401186,401186,41186
Set3,Draw1,R4,590668344711.0,59066834411.0,50668411,5068411,068411,068411,68411
Set3,Draw1,R6,668117059344.0,66811059344.0,66811054,6811054,681104,681104,68114
Set3,Draw1,R8,701198366445.0,1198366445.0,01186645,0118645,011864,011864,11864
Set2,Draw1,DRAW_DATA,777.0,439.0,796,352,775,990,214
Set2,Draw1,R2,5994401138866.0,5940118866.0,54011886,4011886,4011886,411886,1886
Set2,Draw1,R4,5990668834411.0,5906688411.0,50688411,0688411,0688411,688411,6881
Set2,Draw1,R6,6688110599344.0,6688110594.0,68811054,6881104,6881104,688114,6881
Set2,Draw1,R8,119988366445.0,119886645.0,01188645,0118864,0118864,118864,1886
Set1,Draw1,DRAW_DATA,439.0,796.0,352,775,990,214,990
Set1,Draw1,R2,592401138866.0,5240113886.0,4011886*,4011886*,411886*,1886*,1886*
Set1,Draw1,R4,259066883411.0,2506883411.0,0688411*,0688411*,688411*,6881*,6881*
Set1,Draw1,R6,668811059324.0,6881105324.0,6881104*,6881104*,688114*,6881*,6881*
Set1,Draw1,R8,11988366245.0,118836245.0,0118864*,0118864*,118864*,1886*,1886*
Set1,Draw2,R2,,5522400113886.0,5240011886*,240011886*,24011886*,01886*,1886*
Set1,Draw2,R4,,2255006883411.0,2500688411*,200688411*,20688411*,06881*,6881*
Set1,Draw2,R6,,6881100553224.0,6881100524*,688110024*,68811024*,68810*,6881*
Set1,Draw2,R8,,11883622455.0,0011886245*,001188624*,01188624*,01886*,1886*
Set1,Draw3,R2,,,52400118867*,240011886*,24011886*,01886*,1886*
Set1,Draw3,R4,,,25006884711*,200688411*,20688411*,06881*,6881*
Set1,Draw3,R6,,,68811700524*,688110024*,68811024*,68810*,6881*
Set1,Draw3,R8,,,70011886245*,001188624*,01188624*,01886*,1886*
Set1,Draw4,R2,,,,924400113886*,2440113886*,4013886*,413886*
Set1,Draw4,R4,,,,290068834411*,2068834411*,0688341*,688341*
Set1,Draw4,R6,,,,688110093244*,6881103244*,6881034*,688134*
Set1,Draw4,R8,,,,001198836244*,0118836244*,0188364*,188364*
Set1,Draw5,R2,,,,,24401138866,40138866*,4138866*
Set1,Draw5,R4,,,,,20668834411,06688341*,6688341*
Set1,Draw5,R6,,,,,66881103244,66881034*,6688134*
Set1,Draw5,R8,,,,,01188366244,01883664*,1883664*
Set1,Draw6,R2,,,,,,52401338866,5241338866
Set1,Draw6,R4,,,,,,25066883341,2566883341
Set1,Draw6,R6,,,,,,66881053324,6688153324
Set1,Draw6,R8,,,,,,01883366245,1883366245
Set1,Draw7,R2,,,,,,,5524133886677
Set1,Draw7,R4,,,,,,,2556688334771
Set1,Draw7,R6,,,,,,,6688177553324
Set1,Draw7,R8,,,,,,,7718833662455
