area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Evening,Set3,Draw1,7,E,combined,0,1,0,0,0,0,-1,2,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set3,Draw1,6,E,combined,0,1,0,0,0,0,-1,2,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set3,Draw1,5,E,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set3,Draw1,5,E,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set3,Draw1,4,E,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set3,Draw1,4,E,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set2,Draw1,7,E,combined,0,1,0,0,0,0,-1,2,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set2,Draw1,6,E,own,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set2,Draw1,6,E,combined,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set2,Draw1,5,E,own,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set2,Draw1,5,E,combined,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set2,Draw1,4,E,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set2,Draw1,4,E,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set1,Draw1,7,A,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,99,,-1,1,0
LS1,Evening,Set1,Draw1,7,A,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,7,B,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,7,B,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,7,E,own,0,1,0,1,0,0,-1,1,-1,3,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,7,E,combined,0,1,0,1,0,0,-1,1,-1,3,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,6,E,own,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw1,6,E,combined,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,6,A,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,99,,-1,1,0
LS1,Evening,Set1,Draw2,6,A,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,6,B,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,6,B,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,6,E,own,0,1,0,1,0,0,-1,1,-1,2,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,6,E,combined,0,1,0,1,0,0,-1,1,-1,3,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw2,5,E,own,0,1,0,1,0,1,-1,2,-1,2,-1,2,,,-1,1,0
LS1,Evening,Set1,Draw2,5,E,combined,0,1,0,1,0,1,-1,3,-1,3,-1,3,,,-1,1,0
LS1,Evening,Set1,Draw2,4,E,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set1,Draw2,4,E,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,*,,-1,1,0
LS1,Evening,Set1,Draw3,5,E,own,0,0,0,1,0,0,-1,-1,-1,3,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw4,4,E,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Evening,Set1,Draw5,2,E,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,**,,-1,1,0
LS2,Evening,Set1,Draw4,3,E,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS2,Evening,Set1,Draw4,3,E,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
